排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD EPYC 7T83 64-Core Processor,6,3609,21407,6
2,AMD EPYC 7T83 64-Core Processor,4,3661,7877,4
3,AMD EPYC 7T83 64-Core Processor,2,3599,7259,2
4,AMD EPYC 7T83 64-Core Processor,2,3629,7249,2
5,AMD EPYC 7T83 64-Core Processor,2,3606,7249,2
6,AMD EPYC 7T83 64-Core Processor,2,3630,7221,2
7,AMD EPYC 7T83 64-Core Processor,2,3644,7218,2
8,AMD EPYC 7T83 64-Core Processor,2,3566,7200,2
9,AMD EPYC 7T83 64-Core Processor,2,3581,7182,2
10,AMD EPYC 7T83 64-Core Processor,2,3587,7177,2
11,AMD EPYC 7T83 64-Core Processor,2,3518,6944,2
12,AMD EPYC 7T83 64-Core Processor,2,3589,6813,2
13,AMD EPYC 7T83 64-Core Processor,2,3596,4138,2
14,AMD EPYC 7T83 64-Core Processor,2,3693,4137,2
15,AMD EPYC 7T83 64-Core Processor,2,3692,4136,2
16,AMD EPYC 7T83 64-Core Processor,2,3667,4134,2
17,AMD EPYC 7T83 64-Core Processor,2,3688,4129,2
