排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,2,1129,94611,104
2,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,32,1124,32133,32
3,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,32,1140,31963,32
4,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,32,1145,31589,32
5,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,32,1127,31006,32
6,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,26,1216,29891,26
7,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,32,849,26914,32
8,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,16,1145,18285,16
9,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,16,1136,18217,16
10,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,16,1118,17876,16
11,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,16,1116,17750,16
12,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,16,1122,17723,16
13,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,16,1136,17531,16
14,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,16,1129,17290,16
15,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,16,1032,16970,16
16,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,16,1094,16848,16
17,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,16,1062,16528,16
18,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,16,1041,16205,16
19,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,16,1078,16121,16
20,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,16,1013,15129,16
21,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,16,1115,14653,16
22,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,12,1146,13699,12
23,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,12,1137,13540,12
24,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,12,1135,13345,12
25,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,12,1109,12914,12
26,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,12,1101,12894,12
27,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,12,1021,11947,12
28,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,12,840,10059,12
29,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,8,1188,9459,8
30,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,8,1159,9397,8
31,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,8,1158,9363,8
32,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,8,1164,9346,8
33,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,8,1130,9183,8
