排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,QEMU Virtual CPU version (cpu64-rhel6),8,670,5282,8
2,QEMU Virtual CPU version (cpu64-rhel6),8,669,5241,8
3,QEMU Virtual CPU version (cpu64-rhel6),6,803,4748,6
4,QEMU Virtual CPU version (cpu64-rhel6),6,796,4680,6
5,QEMU Virtual CPU version (cpu64-rhel6),6,744,4344,6
6,QEMU Virtual CPU version (cpu64-rhel6),6,726,4319,6
7,QEMU Virtual CPU version (cpu64-rhel6),6,725,4310,6
8,QEMU Virtual CPU version (cpu64-rhel6),8,603,4030,8
9,QEMU Virtual CPU version (cpu64-rhel6),8,728,4029,8
10,QEMU Virtual CPU version (cpu64-rhel6),6,665,3895,6
11,QEMU Virtual CPU version (cpu64-rhel6),6,658,3850,6
12,QEMU Virtual CPU version (cpu64-rhel6),6,654,3844,6
13,QEMU Virtual CPU version (cpu64-rhel6),6,713,3809,6
14,QEMU Virtual CPU version (cpu64-rhel6),8,569,3803,8
15,QEMU Virtual CPU version (cpu64-rhel6),5,772,3636,5
16,QEMU Virtual CPU version (cpu64-rhel6),5,778,3318,5
17,QEMU Virtual CPU version (cpu64-rhel6),5,759,3097,5
18,QEMU Virtual CPU version (cpu64-rhel6),4,777,3025,4
19,QEMU Virtual CPU version (cpu64-rhel6),4,745,2973,4
20,QEMU Virtual CPU version (cpu64-rhel6),4,748,2971,4
21,QEMU Virtual CPU version (cpu64-rhel6),4,737,2932,4
22,QEMU Virtual CPU version (cpu64-rhel6),4,720,2887,4
23,QEMU Virtual CPU version (cpu64-rhel6),4,684,2748,4
24,QEMU Virtual CPU version (cpu64-rhel6),5,587,2736,5
25,QEMU Virtual CPU version (cpu64-rhel6) @2599.998 MHz,4,714,2732,4
26,QEMU Virtual CPU version (cpu64-rhel6),4,731,2723,4
27,QEMU Virtual CPU version (cpu64-rhel6),4,680,2723,4
28,QEMU Virtual CPU version (cpu64-rhel6),5,718,2706,5
29,QEMU Virtual CPU version (cpu64-rhel6),4,684,2705,4
30,QEMU Virtual CPU version (cpu64-rhel6),5,639,2696,5
31,QEMU Virtual CPU version (cpu64-rhel6),4,675,2694,4
32,QEMU Virtual CPU version (cpu64-rhel6),4,684,2693,4
33,QEMU Virtual CPU version (cpu64-rhel6),4,678,2658,4
34,QEMU Virtual CPU version (cpu64-rhel6),4,658,2630,4
35,QEMU Virtual CPU version (cpu64-rhel6),4,686,2627,4
36,QEMU Virtual CPU version (cpu64-rhel6),4,662,2625,4
37,QEMU Virtual CPU version (cpu64-rhel6),4,659,2625,4
38,QEMU Virtual CPU version (cpu64-rhel6),4,658,2617,4
39,QEMU Virtual CPU version (cpu64-rhel6),4,655,2568,4
40,QEMU Virtual CPU version (cpu64-rhel6),4,658,2544,4
41,QEMU Virtual CPU version (cpu64-rhel6),4,638,2543,4
42,QEMU Virtual CPU version (cpu64-rhel6),5,594,2518,5
43,QEMU Virtual CPU version (cpu64-rhel6),4,648,2509,4
44,QEMU Virtual CPU version (cpu64-rhel6) @2699.998 MHz,4,632,2294,4
45,QEMU Virtual CPU version (cpu64-rhel6),5,594,2292,5
46,QEMU Virtual CPU version (cpu64-rhel6),4,693,2223,4
47,QEMU Virtual CPU version (cpu64-rhel6),3,749,2215,3
48,QEMU Virtual CPU version (cpu64-rhel6),3,737,2197,3
49,QEMU Virtual CPU version (cpu64-rhel6),3,722,2172,3
50,QEMU Virtual CPU version (cpu64-rhel6),3,723,2118,3
51,QEMU Virtual CPU version (cpu64-rhel6),4,554,2110,4
52,QEMU Virtual CPU version (cpu64-rhel6),3,724,2091,3
53,QEMU Virtual CPU version (cpu64-rhel6),2,1066,2058,2
54,QEMU Virtual CPU version (cpu64-rhel6),4,559,2000,4
55,QEMU Virtual CPU version (cpu64-rhel6),3,694,1995,3
56,QEMU Virtual CPU version (cpu64-rhel6),4,583,1962,4
57,QEMU Virtual CPU version (cpu64-rhel6),2,1035,1925,2
58,QEMU Virtual CPU version (cpu64-rhel6),3,689,1898,3
59,QEMU Virtual CPU version (cpu64-rhel6),3,638,1897,3
60,QEMU Virtual CPU version (cpu64-rhel6),3,626,1893,3
61,QEMU Virtual CPU version (cpu64-rhel6),2,962,1889,2
62,QEMU Virtual CPU version (cpu64-rhel6),2,920,1881,2
63,QEMU Virtual CPU version (cpu64-rhel6),3,627,1878,3
64,QEMU Virtual CPU version (cpu64-rhel6),3,693,1875,3
65,QEMU Virtual CPU version (cpu64-rhel6),3,645,1847,3
66,QEMU Virtual CPU version (cpu64-rhel6),2,924,1844,2
67,QEMU Virtual CPU version (cpu64-rhel6),3,604,1831,3
68,QEMU Virtual CPU version (cpu64-rhel6),3,620,1826,3
69,QEMU Virtual CPU version (cpu64-rhel6),3,619,1823,3
70,QEMU Virtual CPU version (cpu64-rhel6),2,917,1821,2
71,QEMU Virtual CPU version (cpu64-rhel6),2,872,1818,2
72,QEMU Virtual CPU version (cpu64-rhel6),2,924,1807,2
73,QEMU Virtual CPU version (cpu64-rhel6),2,941,1804,2
74,QEMU Virtual CPU version (cpu64-rhel6) @ 2399.996 MHz,2,898,1790,2
75,QEMU Virtual CPU version (cpu64-rhel6),3,696,1784,3
76,QEMU Virtual CPU version (cpu64-rhel6),3,626,1780,3
77,QEMU Virtual CPU version (cpu64-rhel6),2,865,1751,2
78,QEMU Virtual CPU version (cpu64-rhel6),3,582,1747,3
79,QEMU Virtual CPU version (cpu64-rhel6),2,880,1741,2
80,QEMU Virtual CPU version (cpu64-rhel6),2,871,1717,2
81,QEMU Virtual CPU version (cpu64-rhel6),2,905,1706,2
82,QEMU Virtual CPU version (cpu64-rhel6),2,885,1706,2
83,QEMU Virtual CPU version (cpu64-rhel6),2,869,1694,2
84,QEMU Virtual CPU version (cpu64-rhel6),2,864,1693,2
85,QEMU Virtual CPU version (cpu64-rhel6),2,832,1672,2
86,QEMU Virtual CPU version (cpu64-rhel6),2,839,1672,2
87,QEMU Virtual CPU version (cpu64-rhel6),3,618,1672,3
88,QEMU Virtual CPU version (cpu64-rhel6),2,861,1668,2
89,QEMU Virtual CPU version (cpu64-rhel6),2,817,1668,2
90,QEMU Virtual CPU version (cpu64-rhel6),2,677,1659,2
91,QEMU Virtual CPU version (cpu64-rhel6),2,838,1656,2
92,QEMU Virtual CPU version (cpu64-rhel6),2,826,1656,2
93,QEMU Virtual CPU version (cpu64-rhel6),2,835,1655,2
94,QEMU Virtual CPU version (cpu64-rhel6),2,828,1653,2
95,QEMU Virtual CPU version (cpu64-rhel6),3,698,1649,3
96,QEMU Virtual CPU version (cpu64-rhel6),2,825,1648,2
97,QEMU Virtual CPU version (cpu64-rhel6),2,833,1643,2
98,QEMU Virtual CPU version (cpu64-rhel6),2,837,1638,2
99,QEMU Virtual CPU version (cpu64-rhel6),2,831,1636,2
100,QEMU Virtual CPU version (cpu64-rhel6),2,841,1636,2
101,QEMU Virtual CPU version (cpu64-rhel6),2,822,1633,2
102,QEMU Virtual CPU version (cpu64-rhel6),2,817,1631,2
103,QEMU Virtual CPU version (cpu64-rhel6),2,874,1626,2
