排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,96,1039,73677,96
2,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,1016,3901,4
3,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,1005,1926,2
4,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,96,1002,73802,96
5,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,983,3794,4
6,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,981,1477,2
7,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,980,1475,2
8,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,950,1887,2
9,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,948,1428,2
10,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,947,1426,2
11,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,947,1426,2
12,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,947,1427,2
13,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,946,1429,2
14,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,946,2844,4
15,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,946,2853,4
16,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,946,1424,2
17,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,946,1423,2
18,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,946,1425,2
19,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,946,1426,2
20,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,946,1424,2
21,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,945,1423,2
22,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,945,1425,2
23,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,945,1425,2
24,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,945,1424,2
25,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,945,1423,2
26,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,8,945,5665,8
27,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,945,1422,2
28,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,944,1427,2
29,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,944,1421,2
30,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,943,2826,4
31,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,72,943,50254,72
32,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,943,1429,2
33,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,942,1415,2
34,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,942,1415,2
35,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,941,1418,2
36,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,941,1414,2
37,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,941,1411,2
38,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,941,1414,2
39,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,941,1412,2
40,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,941,1415,2
41,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,941,1411,2
42,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,941,1411,2
43,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,941,1415,2
44,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,941,1413,2
45,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,941,1418,2
46,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,941,2837,4
47,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,941,2811,4
48,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,941,1429,2
49,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,941,1371,2
50,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,941,1420,2
51,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,941,1421,2
52,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,941,1415,2
53,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,940,1412,2
54,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,940,1414,2
55,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,940,1418,2
56,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,940,1429,2
57,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,940,1416,2
58,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,940,1417,2
59,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,939,1415,2
60,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,16,939,11276,16
61,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,939,2786,4
62,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,939,1413,2
63,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,939,1414,2
64,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,8,939,5576,8
65,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,939,3720,4
66,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,939,1424,2
67,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,939,1417,2
68,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,939,1419,2
69,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,939,1415,2
70,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,938,1428,2
71,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,938,3616,4
72,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,8,938,5548,8
73,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,8,938,5437,8
74,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,938,1421,2
75,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,937,1415,2
76,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,937,1414,2
77,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,937,2804,4
78,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,937,3658,4
79,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,937,1416,2
80,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,937,1418,2
81,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,937,1330,2
82,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,936,1391,2
83,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,936,2806,4
84,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,936,2781,4
85,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,936,3696,4
86,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,936,1399,2
87,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,936,1414,2
88,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,8,936,5506,8
89,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,936,1515,2
90,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,936,3653,4
91,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,935,1420,2
92,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,935,1400,2
93,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,935,1417,2
94,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,935,1426,2
95,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,935,3702,4
96,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,934,1403,2
97,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,934,1395,2
98,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,934,1427,2
99,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,934,3640,4
100,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,8,934,5482,8
101,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,933,1853,2
102,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,933,1401,2
103,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,933,1396,2
104,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,932,1404,2
105,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,932,1411,2
106,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,932,1389,2
107,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,932,1412,2
108,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,931,1397,2
109,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,931,1415,2
110,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,931,1388,2
111,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,931,1418,2
112,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,931,3699,4
113,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,931,1812,2
114,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,931,3706,4
115,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,930,3631,4
116,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,930,1355,2
117,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,930,3608,4
118,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,930,1390,2
119,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,930,1389,2
120,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,930,1812,2
121,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,929,3682,4
122,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,929,1800,2
123,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,929,3659,4
124,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,929,1769,2
125,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,929,1383,2
126,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,928,1837,2
127,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,928,3660,4
128,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,928,1391,2
129,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,928,1833,2
130,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,928,1408,2
131,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,928,3587,4
132,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,928,1386,2
133,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,927,3625,4
134,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,927,1402,2
135,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,927,1547,2
136,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,927,1836,2
137,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,927,1843,2
138,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,926,1396,2
139,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,926,1548,2
140,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,926,1391,2
141,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,926,1550,2
142,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,926,1378,2
143,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,926,1378,2
144,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,926,3688,4
145,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,926,1547,2
146,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,926,1547,2
147,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,925,1549,2
148,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,925,1544,2
149,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,925,1547,2
150,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,925,1548,2
151,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,925,3615,4
152,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,925,1376,2
153,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,925,2746,4
154,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,924,1369,2
155,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,924,1548,2
156,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,924,1818,2
157,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,924,1364,2
158,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,924,3576,4
159,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,924,3628,4
160,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,924,1551,2
161,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,924,1375,2
162,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,924,1547,2
163,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,923,1357,2
164,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,923,1377,2
165,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,922,1526,2
166,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,922,3682,4
167,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,922,1545,2
168,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,921,1376,2
169,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,921,2714,4
170,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,921,1547,2
171,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,921,1542,2
172,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,921,3157,4
173,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,921,1387,2
174,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,921,1434,2
175,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,921,3137,4
176,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,8,921,5381,8
177,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,921,1385,2
178,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,921,1537,2
179,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,8,920,6277,8
180,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,920,1430,2
181,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,920,3142,4
182,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,920,1442,2
183,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,920,1437,2
184,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,920,1853,2
185,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,920,3652,4
186,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,920,1367,2
187,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,919,1773,2
188,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,919,1552,2
189,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,919,3646,4
190,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,919,1523,2
191,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,919,1432,2
192,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,919,1569,2
193,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,919,1425,2
194,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,919,1424,2
195,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,919,1824,2
196,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,918,1547,2
197,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,918,2848,4
198,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,918,1520,2
199,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,918,1547,2
200,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,918,1832,2
201,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,918,1359,2
202,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,918,1528,2
203,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,918,1525,2
204,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,917,1521,2
205,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,917,3614,4
206,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,917,3609,4
207,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,917,1518,2
208,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,917,3513,4
209,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,917,1354,2
210,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,8,917,7299,8
211,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,917,1531,2
212,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,917,1521,2
213,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,917,1363,2
214,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,917,2642,4
215,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,917,2848,4
216,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,917,3408,4
217,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,917,1364,2
218,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,916,1522,2
219,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,916,1516,2
220,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,916,1520,2
221,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,916,1521,2
222,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,916,1371,2
223,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,916,1328,2
224,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,916,1512,2
225,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,916,1511,2
226,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,915,1547,2
227,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,915,1349,2
228,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,915,1364,2
229,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,915,1514,2
230,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,915,3597,4
231,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,915,1527,2
232,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,915,1433,2
233,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,915,1532,2
234,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,914,1360,2
235,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,914,1753,2
236,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,914,1507,2
237,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,914,1543,2
238,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,914,1510,2
239,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,914,1432,2
240,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,914,1361,2
241,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,914,3653,4
242,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,914,3638,4
243,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,913,1515,2
244,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,913,1803,2
245,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,913,1547,2
246,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,913,1386,2
247,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,913,3533,4
248,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,913,3586,4
249,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,913,3538,4
250,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,912,1793,2
251,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,912,3523,4
252,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,912,1795,2
253,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,912,1801,2
254,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,911,1500,2
255,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,911,1516,2
256,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,911,1794,2
257,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,910,1543,2
258,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,910,1211,2
259,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,910,1800,2
260,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,910,1777,2
261,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,910,3581,4
262,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,910,1357,2
263,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,910,1542,2
264,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,909,1799,2
265,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,909,1516,2
266,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,8,909,7093,8
267,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,909,3583,4
268,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,909,3670,4
269,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,909,2569,4
270,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,909,1754,2
271,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,909,1506,2
272,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,909,1374,2
273,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,909,1459,2
274,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,908,1353,2
275,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,908,1771,2
276,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,908,1769,2
277,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,908,1529,2
278,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,4,908,3545,4
279,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,908,1801,2
280,Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,2,908,1804,2
