排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD EPYC 7D12 32-Core Processor,1,1489,49447,64
2,AMD EPYC 7D12 32-Core Processor,64,1474,44138,64
3,AMD EPYC 7D12 32-Core Processor,32,1469,35834,32
4,AMD EPYC 7D12 32-Core Processor,16,1207,15571,16
5,AMD EPYC 7D12 32-Core Processor,16,1228,15123,16
6,AMD EPYC 7D12 32-Core Processor,8,1474,11763,8
7,AMD EPYC 7D12 32-Core Processor,8,1456,11544,8
8,AMD EPYC 7D12 32-Core Processor,8,1455,11369,8
9,AMD EPYC 7D12 32-Core Processor,8,1451,11035,8
10,AMD EPYC 7D12 32-Core Processor,8,1455,11008,8
11,AMD EPYC 7D12 32-Core Processor,8,1444,10852,8
12,AMD EPYC 7D12 32-Core Processor,8,1448,10838,8
13,AMD EPYC 7D12 32-Core Processor,8,1442,10473,8
14,AMD EPYC 7D12 32-Core Processor,8,1463,10234,8
15,AMD EPYC 7D12 32-Core Processor,8,1448,10168,8
16,AMD EPYC 7D12 32-Core Processor,8,1281,9636,8
17,AMD EPYC 7D12 32-Core Processor,8,1386,9544,8
18,AMD EPYC 7D12 32-Core Processor,8,1454,9471,8
19,AMD EPYC 7D12 32-Core Processor,6,1487,8841,6
20,AMD EPYC 7D12 32-Core Processor,6,1474,8265,6
21,AMD EPYC 7D12 32-Core Processor,8,1326,6065,8
22,AMD EPYC 7D12 32-Core Processor,8,1339,6065,8
23,AMD EPYC 7D12 32-Core Processor,4,1479,5880,4
24,AMD EPYC 7D12 32-Core Processor,4,1457,5844,4
25,AMD EPYC 7D12 32-Core Processor,4,1466,5836,4
26,AMD EPYC 7D12 32-Core Processor,4,1463,5811,4
27,AMD EPYC 7D12 32-Core Processor,4,1437,5770,4
28,AMD EPYC 7D12 32-Core Processor,4,1464,5770,4
29,AMD EPYC 7D12 32-Core Processor,4,1458,5760,4
30,AMD EPYC 7D12 32-Core Processor,4,1458,5745,4
31,AMD EPYC 7D12 32-Core Processor,4,1452,5745,4
32,AMD EPYC 7D12 32-Core Processor,4,1449,5741,4
33,AMD EPYC 7D12 32-Core Processor,4,1458,5724,4
34,AMD EPYC 7D12 32-Core Processor,4,1437,5717,4
35,AMD EPYC 7D12 32-Core Processor,4,1452,5712,4
36,AMD EPYC 7D12 32-Core Processor,4,1441,5711,4
37,AMD EPYC 7D12 32-Core Processor,6,1372,5691,6
38,AMD EPYC 7D12 32-Core Processor,4,1455,5685,4
39,AMD EPYC 7D12 32-Core Processor,4,1438,5683,4
40,AMD EPYC 7D12 32-Core Processor,4,1463,5673,4
41,AMD EPYC 7D12 32-Core Processor,4,1460,5671,4
42,AMD EPYC 7D12 32-Core Processor,4,1438,5641,4
43,AMD EPYC 7D12 32-Core Processor,4,1429,5632,4
44,AMD EPYC 7D12 32-Core Processor,4,1422,5606,4
45,AMD EPYC 7D12 32-Core Processor,4,1439,5544,4
46,AMD EPYC 7D12 32-Core Processor,4,1442,5537,4
47,AMD EPYC 7D12 32-Core Processor,4,1440,5534,4
48,AMD EPYC 7D12 32-Core Processor,4,1452,5472,4
49,AMD EPYC 7D12 32-Core Processor,6,1362,5466,6
50,AMD EPYC 7D12 32-Core Processor,4,1477,5391,4
51,AMD EPYC 7D12 32-Core Processor,6,1383,5362,6
52,AMD EPYC 7D12 32-Core Processor,4,1459,5321,4
53,AMD EPYC 7D12 32-Core Processor,4,1310,5216,4
54,AMD EPYC 7D12 32-Core Processor,4,1432,5143,4
55,AMD EPYC 7D12 32-Core Processor,4,1288,4995,4
