排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD EPYC-Milan Processor,128,3661,341976,128
2,AMD EPYC-Milan Processor,128,3665,303967,128
3,AMD EPYC-Milan Processor,128,3671,282227,128
4,AMD EPYC-Milan Processor,64,3475,222495,64
5,AMD EPYC-Milan Processor,64,3494,222368,64
6,AMD EPYC-Milan Processor,64,3496,219226,64
7,AMD EPYC-Milan Processor,64,4001,193771,64
8,AMD EPYC-Milan Processor,16,6774,100486,16
9,AMD EPYC-Milan Processor,16,6093,92998,16
10,AMD EPYC-Milan Processor,16,5993,92539,16
11,AMD EPYC-Milan Processor,16,6080,92084,16
12,AMD EPYC-Milan Processor,16,5944,90060,16
13,AMD EPYC-Milan Processor,16,6035,89962,16
14,AMD EPYC-Milan Processor,32,4263,89539,32
15,AMD EPYC-Milan Processor,16,5985,85845,16
16,AMD EPYC-Milan Processor,16,5721,85569,16
17,AMD EPYC-Milan Processor,16,5834,85415,16
18,AMD EPYC-Milan Processor,16,5855,84461,16
19,AMD EPYC-Milan Processor,16,5956,83221,16
20,AMD EPYC-Milan Processor,16,5703,82504,16
21,AMD EPYC-Milan Processor,16,5925,79949,16
22,AMD EPYC-Milan Processor,16,5616,72819,16
23,AMD EPYC-Milan Processor,16,5586,72021,16
24,AMD EPYC-Milan Processor,12,5850,71163,12
25,AMD EPYC-Milan Processor,16,4501,70334,16
26,AMD EPYC-Milan Processor,16,5589,70129,16
27,AMD EPYC-Milan Processor,16,5642,69656,16
28,AMD EPYC-Milan Processor,12,5938,69259,12
29,AMD EPYC-Milan Processor,16,5469,69151,16
30,AMD EPYC-Milan Processor,24,5517,68902,24
31,AMD EPYC-Milan Processor,12,5994,67998,12
32,AMD EPYC-Milan Processor,16,5481,67943,16
33,AMD EPYC-Milan Processor,12,5952,67841,12
34,AMD EPYC-Milan Processor,12,5871,67774,12
35,AMD EPYC-Milan Processor,12,5710,67763,12
36,AMD EPYC-Milan Processor,12,5905,67701,12
37,AMD EPYC-Milan Processor,16,5533,67668,16
38,AMD EPYC-Milan Processor,12,5915,67440,12
39,AMD EPYC-Milan Processor,16,4263,67358,16
40,AMD EPYC-Milan Processor,16,5534,67263,16
41,AMD EPYC-Milan Processor,12,5819,66977,12
42,AMD EPYC-Milan Processor,12,5930,66931,12
43,AMD EPYC-Milan Processor,12,5927,66885,12
44,AMD EPYC-Milan Processor,16,5528,66862,16
45,AMD EPYC-Milan Processor,16,5623,66505,16
46,AMD EPYC-Milan Processor,16,5561,66122,16
47,AMD EPYC-Milan Processor,12,5677,66015,12
48,AMD EPYC-Milan Processor,16,5467,65998,16
49,AMD EPYC-Milan Processor,16,5503,65884,16
50,AMD EPYC-Milan Processor,16,5823,65312,16
51,AMD EPYC-Milan Processor,16,5555,64955,16
52,AMD EPYC-Milan Processor,16,5083,64813,16
53,AMD EPYC-Milan Processor,12,5661,64402,12
54,AMD EPYC-Milan Processor,12,5619,64229,12
55,AMD EPYC-Milan Processor,16,4044,64057,16
56,AMD EPYC-Milan Processor,12,5600,64047,12
57,AMD EPYC-Milan Processor,16,4105,62591,16
58,AMD EPYC-Milan Processor,12,5684,60869,12
59,AMD EPYC-Milan Processor,12,5212,58471,12
60,AMD EPYC-Milan Processor,16,3651,58098,16
61,AMD EPYC-Milan Processor,16,3948,58077,16
62,AMD EPYC-Milan Processor,12,5071,55985,12
63,AMD EPYC-Milan Processor,16,5168,55787,16
64,AMD EPYC-Milan Processor,16,3497,55397,16
65,AMD EPYC-Milan Processor,16,3467,54531,16
66,AMD EPYC-Milan Processor,16,3553,54509,16
67,AMD EPYC-Milan Processor,12,5620,54011,12
68,AMD EPYC-Milan Processor,12,5128,53285,12
69,AMD EPYC-Milan Processor,16,3334,53236,16
70,AMD EPYC-Milan Processor,12,5545,52416,12
71,AMD EPYC-Milan Processor,16,3617,52330,16
72,AMD EPYC-Milan Processor,16,3630,52139,16
73,AMD EPYC-Milan Processor,9,6291,51571,9
74,AMD EPYC-Milan Processor,12,5426,50269,12
75,AMD EPYC-Milan Processor,9,5815,50059,9
76,AMD EPYC-Milan Processor,12,5503,49817,12
77,AMD EPYC-Milan Processor,16,3839,49598,16
78,AMD EPYC-Milan Processor,8,6204,48697,8
79,AMD EPYC-Milan Processor,12,4072,47829,12
80,AMD EPYC-Milan Processor,8,5987,47673,8
81,AMD EPYC-Milan Processor,8,6051,47668,8
82,AMD EPYC-Milan Processor,8,6053,47546,8
83,AMD EPYC-Milan Processor,8,6016,47075,8
84,AMD EPYC-Milan Processor,8,5947,46988,8
85,AMD EPYC-Milan Processor,8,5913,46962,8
86,AMD EPYC-Milan Processor,8,6013,46941,8
87,AMD EPYC-Milan Processor,8,6006,46833,8
88,AMD EPYC-Milan Processor,8,5996,46833,8
89,AMD EPYC-Milan Processor,8,5982,46822,8
90,AMD EPYC-Milan Processor,8,6000,46771,8
91,AMD EPYC-Milan Processor,8,6042,46734,8
92,AMD EPYC-Milan Processor,8,5766,46654,8
93,AMD EPYC-Milan Processor,8,5910,46644,8
94,AMD EPYC-Milan Processor,8,5958,46620,8
95,AMD EPYC-Milan Processor,8,6009,46340,8
96,AMD EPYC-Milan Processor,8,5889,46316,8
97,AMD EPYC-Milan Processor,16,5426,46181,16
98,AMD EPYC-Milan Processor,16,5414,46153,16
99,AMD EPYC-Milan Processor,12,5272,46018,12
100,AMD EPYC-Milan Processor,8,5868,45699,8
101,AMD EPYC-Milan Processor,8,5909,45649,8
102,AMD EPYC-Milan Processor,8,6010,45634,8
103,AMD EPYC-Milan Processor,8,5830,45619,8
104,AMD EPYC-Milan Processor,8,5870,45574,8
105,AMD EPYC-Milan Processor,8,5949,45516,8
106,AMD EPYC-Milan Processor,8,5768,45317,8
107,AMD EPYC-Milan Processor,8,5747,45079,8
108,AMD EPYC-Milan Processor,8,5901,44699,8
109,AMD EPYC-Milan Processor,8,5443,44659,8
110,AMD EPYC-Milan Processor,8,5794,44611,8
111,AMD EPYC-Milan Processor,8,5344,44367,8
112,AMD EPYC-Milan Processor,8,5616,44326,8
113,AMD EPYC-Milan Processor,8,5849,43975,8
114,AMD EPYC-Milan Processor,8,5531,43847,8
115,AMD EPYC-Milan Processor,8,5702,43795,8
116,AMD EPYC-Milan Processor,8,5569,43452,8
117,AMD EPYC-Milan Processor,8,5634,43373,8
118,AMD EPYC-Milan Processor,8,5481,43341,8
119,AMD EPYC-Milan Processor,12,4498,43064,12
120,AMD EPYC-Milan Processor,8,5564,42937,8
121,AMD EPYC-Milan Processor,12,5177,42737,12
122,AMD EPYC-Milan Processor,8,5607,42376,8
123,AMD EPYC-Milan Processor,12,4990,42315,12
124,AMD EPYC-Milan Processor,12,5348,42203,12
125,AMD EPYC-Milan Processor,12,4414,42150,12
126,AMD EPYC-Milan Processor,8,5231,41805,8
127,AMD EPYC-Milan Processor,8,5559,41620,8
128,AMD EPYC-Milan Processor,8,5495,40776,8
129,AMD EPYC-Milan Processor,12,4588,40739,12
130,AMD EPYC-Milan Processor,10,4091,40652,10
131,AMD EPYC-Milan Processor,8,5189,40330,8
132,AMD EPYC-Milan Processor,8,5090,40262,8
133,AMD EPYC-Milan Processor,8,5123,40191,8
134,AMD EPYC-Milan Processor,8,5204,40093,8
135,AMD EPYC-Milan Processor,8,5203,40030,8
136,AMD EPYC-Milan Processor,8,5155,40015,8
137,AMD EPYC-Milan Processor,8,5163,39919,8
138,AMD EPYC-Milan Processor,8,5122,39884,8
139,AMD EPYC-Milan Processor,9,4663,39757,9
140,AMD EPYC-Milan Processor,8,5131,39703,8
141,AMD EPYC-Milan Processor,8,5122,39543,8
142,AMD EPYC-Milan Processor,8,5134,39537,8
143,AMD EPYC-Milan Processor,8,5059,39537,8
