排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,1109,39090,48
2,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,1109,39090,48
3,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,1073,1905,2
4,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,4,1049,4212,4
5,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,1047,1033,2
6,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,16,1047,15552,16
7,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,1022,2025,2
8,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,1022,2038,2
9,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,1021,2036,2
10,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,1019,2044,2
11,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,8,1017,7658,8
12,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,1017,2018,2
13,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,1016,2036,2
14,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,1016,2014,2
15,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,1016,2021,2
16,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,1009,1030,2
17,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,1002,2015,2
18,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,999,2022,2
19,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,6,997,5888,6
20,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,996,1828,2
21,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,995,2030,2
22,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,992,1021,2
23,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,4,988,3858,4
24,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,4,986,3779,4
25,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,985,1964,2
26,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,4,981,3676,4
27,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,981,1955,2
28,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,4,980,3902,4
29,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,976,1944,2
30,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,975,1935,2
31,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,6,974,5848,6
32,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,969,1007,2
33,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,963,984,2
34,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,961,1919,2
35,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,956,1966,2
36,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,955,1904,2
37,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,929,1890,2
38,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,4,928,3319,4
39,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,919,1831,2
40,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,4,919,3439,4
41,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,6,904,5676,6
42,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,898,901,2
43,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,889,1838,2
44,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,881,1946,2
45,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,879,1983,2
46,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,866,869,2
47,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,851,1942,2
48,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,838,872,2
49,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,836,1671,2
50,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,3,829,851,3
51,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,1,822,788,4
52,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,10,808,6212,10
53,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,4,664,2173,4
54,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,4,607,2099,4
55,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,4,590,1933,4
56,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,521,586,2
