排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD EPYC Processor,16,4510,71972,16
2,AMD EPYC Processor,16,4296,59279,16
3,AMD EPYC Processor,16,3657,58305,16
4,AMD EPYC Processor,16,3621,57804,16
5,AMD EPYC Processor,8,5343,41167,8
6,AMD EPYC Processor,8,5268,40812,8
7,AMD EPYC Processor,8,4511,36069,8
8,AMD EPYC Processor,10,3161,32082,10
9,AMD EPYC Processor,8,3653,29138,8
10,AMD EPYC Processor,8,3629,28906,8
11,AMD EPYC Processor,8,3634,28859,8
12,AMD EPYC Processor,8,3619,28846,8
13,AMD EPYC Processor,8,3617,28171,8
14,AMD EPYC Processor,8,3636,27676,8
15,AMD EPYC Processor,8,3574,27011,8
16,AMD EPYC Processor,6,4358,25927,6
17,AMD EPYC Processor,16,1643,25875,16
18,AMD EPYC Processor,8,3636,25666,8
19,AMD EPYC Processor,16,1634,25634,16
20,AMD EPYC Processor,6,4202,25403,6
21,AMD EPYC Processor,6,4288,25333,6
22,AMD EPYC Processor,6,4246,25328,6
23,AMD EPYC Processor,6,4368,25325,6
24,AMD EPYC Processor,6,4270,25262,6
25,AMD EPYC Processor,6,4128,25169,6
26,AMD EPYC Processor,6,4270,25084,6
27,AMD EPYC Processor,6,4140,25022,6
28,AMD EPYC Processor,8,3618,24995,8
29,AMD EPYC Processor @ 2445.406 MHz,8,3660,24932,8
30,AMD EPYC Processor,6,4141,24847,6
31,AMD EPYC Processor,16,1630,24812,16
32,AMD EPYC Processor,6,4218,24765,6
33,AMD EPYC Processor,6,4153,24742,6
34,AMD EPYC Processor,6,4176,24686,6
35,AMD EPYC Processor,6,4137,24650,6
36,AMD EPYC Processor,6,4191,24492,6
37,AMD EPYC Processor,6,4222,24395,6
38,AMD EPYC Processor,6,4158,24008,6
39,AMD EPYC Processor,6,4117,23974,6
40,AMD EPYC Processor,6,4139,23892,6
41,AMD EPYC Processor,6,4042,23817,6
42,AMD EPYC Processor,6,4008,23753,6
43,AMD EPYC Processor,6,4092,23592,6
44,AMD EPYC Processor,6,4130,23112,6
45,AMD EPYC Processor,16,1616,23064,16
46,AMD EPYC Processor,6,3884,23046,6
47,AMD EPYC Processor,12,3571,22819,12
48,AMD EPYC Processor @ 2849.998 MHz,6,4044,22753,6
49,AMD EPYC Processor,6,4094,22152,6
50,AMD EPYC Processor,6,3867,21943,6
51,AMD EPYC Processor,6,3921,21917,6
52,AMD EPYC Processor,6,3992,21814,6
53,AMD EPYC Processor,6,3880,21637,6
54,AMD EPYC Processor,6,3939,21598,6
55,AMD EPYC Processor,6,3893,21532,6
56,AMD EPYC Processor,6,3974,21262,6
57,AMD EPYC Processor,6,4152,20968,6
58,AMD EPYC Processor,6,3739,20535,6
59,AMD EPYC Processor,4,5234,20499,4
60,AMD EPYC Processor,6,3831,20466,6
61,AMD EPYC Processor,6,3850,20360,6
62,AMD EPYC Processor,6,3628,20290,6
63,AMD EPYC Processor,4,5296,20223,4
64,AMD EPYC Processor,6,3557,20172,6
65,AMD EPYC Processor,6,3817,20163,6
66,AMD EPYC Processor,6,3753,19975,6
67,AMD EPYC Processor,6,4125,19958,6
68,AMD EPYC Processor @ 2849.998 MHz,6,3846,19855,6
69,AMD EPYC Processor,6,4001,19750,6
70,AMD EPYC Processor @ 2849.998 MHz,6,3883,19177,6
71,AMD EPYC Processor,8,4478,18857,8
72,AMD EPYC Processor,6,3754,18573,6
73,AMD EPYC Processor @ 2849.998 MHz,6,3804,18336,6
74,AMD EPYC Processor @ 2849.998 MHz,6,3306,17954,6
75,AMD EPYC Processor @ 2849.998 MHz,6,3899,17941,6
76,AMD EPYC Processor,6,3009,17903,6
77,AMD EPYC Processor,6,3470,17861,6
78,AMD EPYC Processor,4,4498,17756,4
79,AMD EPYC Processor,4,4425,17369,4
80,AMD EPYC Processor,6,3023,17200,6
81,AMD EPYC Processor,6,3121,17103,6
82,AMD EPYC Processor,4,4209,16890,4
83,AMD EPYC Processor,16,1311,16791,16
84,AMD EPYC Processor,4,4224,16592,4
85,AMD EPYC Processor,8,3652,16498,8
86,AMD EPYC Processor,6,3434,16265,6
87,AMD EPYC Processor,4,6278,14668,4
88,AMD EPYC Processor,4,3655,14613,4
89,AMD EPYC Processor,4,3653,14566,4
90,AMD EPYC Processor,4,3648,14564,4
91,AMD EPYC Processor,4,3630,14563,4
92,AMD EPYC Processor,4,3665,14558,4
93,AMD EPYC Processor,4,3642,14552,4
94,AMD EPYC Processor,4,3652,14552,4
95,AMD EPYC Processor,4,3652,14545,4
96,AMD EPYC Processor,4,3652,14538,4
97,AMD EPYC Processor,4,3631,14534,4
98,AMD EPYC Processor,4,3635,14533,4
99,AMD EPYC Processor,4,3595,14530,4
100,AMD EPYC Processor,4,3630,14516,4
101,AMD EPYC Processor,4,3646,14455,4
102,AMD EPYC Processor,4,3628,14438,4
103,AMD EPYC Processor,4,3639,14417,4
104,AMD EPYC Processor,4,3619,14415,4
105,AMD EPYC Processor,4,3599,14408,4
106,AMD EPYC Processor,4,3594,14406,4
107,AMD EPYC Processor,4,3621,14363,4
108,AMD EPYC Processor,4,3615,14363,4
109,AMD EPYC Processor,4,3629,14333,4
110,AMD EPYC Processor,10,3131,14320,10
111,AMD EPYC Processor,4,3565,14302,4
112,AMD EPYC Processor,4,3612,14296,4
113,AMD EPYC Processor,4,3613,14243,4
114,AMD EPYC Processor,4,3577,14183,4
115,AMD EPYC Processor,4,3597,14174,4
116,AMD EPYC Processor,4,3572,14030,4
117,AMD EPYC Processor,4,3751,13894,4
118,AMD EPYC Processor,4,3468,13813,4
119,AMD EPYC Processor,4,3637,13630,4
120,AMD EPYC Processor,3,4506,13535,3
121,AMD EPYC Processor,3,4493,13482,3
122,AMD EPYC Processor,3,4494,13459,3
123,AMD EPYC Processor,3,4500,13443,3
124,AMD EPYC Processor,4,3981,13430,4
125,AMD EPYC Processor,3,4459,13408,3
126,AMD EPYC Processor,4,3777,13395,4
127,AMD EPYC Processor,3,4493,13287,3
128,AMD EPYC Processor,3,4245,13188,3
129,AMD EPYC Processor,3,4420,13181,3
130,AMD EPYC Processor,3,4478,13147,3
131,AMD EPYC Processor,3,4446,13085,3
132,AMD EPYC Processor,3,4445,13035,3
133,AMD EPYC Processor,8,1629,12992,8
134,AMD EPYC Processor,3,4431,12954,3
135,AMD EPYC Processor,3,4254,12935,3
136,AMD EPYC Processor,8,1627,12929,8
137,AMD EPYC Processor,8,1603,12486,8
138,AMD EPYC Processor,4,3074,12238,4
139,AMD EPYC Processor @3249.998 MHz,3,4016,12188,3
140,AMD EPYC Processor,8,1609,12162,8
141,AMD EPYC Processor,4,3042,12162,4
142,AMD EPYC Processor,4,3008,12151,4
143,AMD EPYC Processor @ 2645.030 MHz,4,3033,12131,4
144,AMD EPYC Processor,4,3237,12115,4
145,AMD EPYC Processor @3249.998 MHz,3,3926,12105,3
146,AMD EPYC Processor,4,3053,12100,4
147,AMD EPYC Processor,4,3042,12095,4
148,AMD EPYC Processor,4,3055,12092,4
149,AMD EPYC Processor,4,3074,12090,4
150,AMD EPYC Processor,4,3039,12049,4
151,AMD EPYC Processor @2645.028 MHz,4,2982,12021,4
152,AMD EPYC Processor,4,3013,12013,4
153,AMD EPYC Processor,4,3042,11997,4
154,AMD EPYC Processor,4,2975,11996,4
155,AMD EPYC Processor,4,2990,11987,4
156,AMD EPYC Processor,4,3053,11986,4
157,AMD EPYC Processor,4,2981,11981,4
158,AMD EPYC Processor,4,3019,11980,4
159,AMD EPYC Processor @ 2645.028 MHz,4,3034,11977,4
160,AMD EPYC Processor,4,2936,11968,4
161,AMD EPYC Processor,4,3026,11952,4
162,AMD EPYC Processor,4,2992,11949,4
163,AMD EPYC Processor @2645.028 MHz,4,3015,11949,4
164,AMD EPYC Processor,4,2991,11949,4
165,AMD EPYC Processor,4,3042,11939,4
166,AMD EPYC Processor,4,3008,11935,4
167,AMD EPYC Processor,4,3010,11932,4
168,AMD EPYC Processor,4,3012,11915,4
169,AMD EPYC Processor @3249.998 MHz,3,3927,11909,3
170,AMD EPYC Processor,4,2946,11889,4
171,AMD EPYC Processor,4,2999,11889,4
172,AMD EPYC Processor @ 2645.028 MHz,4,3028,11887,4
173,AMD EPYC Processor,4,3020,11884,4
174,AMD EPYC Processor,4,2996,11884,4
175,AMD EPYC Processor,4,2987,11850,4
176,AMD EPYC Processor,4,2972,11845,4
177,AMD EPYC Processor,4,2991,11844,4
178,AMD EPYC Processor @ 2645.030 MHz,4,3027,11843,4
179,AMD EPYC Processor,4,3010,11832,4
180,AMD EPYC Processor @ 2645.030 MHz,4,2965,11821,4
181,AMD EPYC Processor,4,3090,11819,4
182,AMD EPYC Processor,4,2973,11790,4
183,AMD EPYC Processor,4,3020,11787,4
184,AMD EPYC Processor,4,2985,11776,4
185,AMD EPYC Processor,4,2961,11772,4
186,AMD EPYC Processor,4,3147,11770,4
187,AMD EPYC Processor,4,3205,11768,4
188,AMD EPYC Processor,4,3032,11750,4
189,AMD EPYC Processor,4,2963,11749,4
190,AMD EPYC Processor @ 2645.030 MHz,4,2991,11747,4
191,AMD EPYC Processor,4,2954,11742,4
192,AMD EPYC Processor,4,3046,11742,4
193,AMD EPYC Processor,4,2988,11736,4
194,AMD EPYC Processor,4,2977,11733,4
195,AMD EPYC Processor,4,3145,11699,4
196,AMD EPYC Processor,4,2986,11693,4
197,AMD EPYC Processor,4,2894,11677,4
198,AMD EPYC Processor,4,2961,11662,4
199,AMD EPYC Processor,4,2927,11661,4
200,AMD EPYC Processor,4,2940,11658,4
201,AMD EPYC Processor @ 2645.030 MHz,4,2950,11646,4
202,AMD EPYC Processor @ 2645.030 MHz,4,2989,11616,4
203,AMD EPYC Processor,4,2936,11606,4
204,AMD EPYC Processor @ 2645.030 MHz,4,2899,11556,4
205,AMD EPYC Processor,4,2960,11520,4
206,AMD EPYC Processor,4,3070,11507,4
207,AMD EPYC Processor @ 2645.028 MHz,4,2880,11501,4
208,AMD EPYC Processor,4,3014,11494,4
209,AMD EPYC Processor,4,3152,11488,4
210,AMD EPYC Processor,4,2918,11478,4
211,AMD EPYC Processor @ 2645.030 MHz,4,2907,11453,4
212,AMD EPYC Processor,4,2964,11442,4
213,AMD EPYC Processor,4,2969,11441,4
214,AMD EPYC Processor,4,3044,11433,4
215,AMD EPYC Processor,4,2698,11406,4
216,AMD EPYC Processor,4,2949,11391,4
217,AMD EPYC Processor,4,3026,11379,4
218,AMD EPYC Processor,4,2960,11378,4
219,AMD EPYC Processor,4,2861,11368,4
220,AMD EPYC Processor,4,2917,11366,4
221,AMD EPYC Processor,4,2911,11357,4
222,AMD EPYC Processor,4,2975,11336,4
223,AMD EPYC Processor,4,2954,11285,4
224,AMD EPYC Processor,4,2983,11237,4
225,AMD EPYC Processor,4,3029,11224,4
226,AMD EPYC Processor,4,2929,11189,4
227,AMD EPYC Processor,4,2857,11180,4
228,AMD EPYC Processor,4,3001,11169,4
229,AMD EPYC Processor,4,2821,11138,4
230,AMD EPYC Processor @ 2645.030 MHz,4,2864,11138,4
231,AMD EPYC Processor,4,2799,11130,4
232,AMD EPYC Processor,4,2963,11129,4
233,AMD EPYC Processor,4,2809,11100,4
234,AMD EPYC Processor,4,2782,11030,4
235,AMD EPYC Processor,4,2828,10998,4
236,AMD EPYC Processor,3,3644,10967,3
237,AMD EPYC Processor,3,3676,10959,3
238,AMD EPYC Processor,3,3681,10952,3
239,AMD EPYC Processor,3,3639,10950,3
240,AMD EPYC Processor,3,3637,10932,3
241,AMD EPYC Processor,3,3652,10931,3
242,AMD EPYC Processor,3,3648,10925,3
243,AMD EPYC Processor,3,3634,10919,3
244,AMD EPYC Processor @ 2445.404 MHz,3,3640,10917,3
245,AMD EPYC Processor,3,3647,10916,3
246,AMD EPYC Processor,3,3644,10914,3
247,AMD EPYC Processor,3,3641,10908,3
248,AMD EPYC Processor,4,3030,10908,4
249,AMD EPYC Processor @ 2445.406 MHz,3,3633,10907,3
250,AMD EPYC Processor,3,3647,10906,3
251,AMD EPYC Processor,4,2834,10898,4
252,AMD EPYC Processor,3,3633,10896,3
253,AMD EPYC Processor,3,3648,10893,3
254,AMD EPYC Processor,4,2928,10893,4
255,AMD EPYC Processor,4,2757,10893,4
256,AMD EPYC Processor,3,3664,10891,3
257,AMD EPYC Processor,3,3662,10889,3
258,AMD EPYC Processor @ 2445.404 MHz,3,3650,10885,3
259,AMD EPYC Processor,3,3645,10881,3
260,AMD EPYC Processor @ 2445.406 MHz,3,3641,10879,3
261,AMD EPYC Processor,3,3613,10872,3
262,AMD EPYC Processor,3,3642,10869,3
263,AMD EPYC Processor,3,3649,10864,3
264,AMD EPYC Processor,3,3600,10859,3
265,AMD EPYC Processor,3,3607,10857,3
266,AMD EPYC Processor,3,3643,10857,3
267,AMD EPYC Processor @ 2645.028 MHz,4,2802,10855,4
268,AMD EPYC Processor @ 2445.406 MHz,3,3646,10844,3
269,AMD EPYC Processor,3,3643,10825,3
270,AMD EPYC Processor,3,3638,10818,3
271,AMD EPYC Processor,3,3632,10816,3
272,AMD EPYC Processor,3,3635,10814,3
273,AMD EPYC Processor,3,3653,10813,3
274,AMD EPYC Processor,3,3620,10805,3
275,AMD EPYC Processor,3,3648,10796,3
276,AMD EPYC Processor,3,3602,10784,3
277,AMD EPYC Processor,3,3592,10784,3
278,AMD EPYC Processor,4,2989,10782,4
279,AMD EPYC Processor,3,3619,10775,3
280,AMD EPYC Processor,3,3619,10768,3
281,AMD EPYC Processor,3,3582,10763,3
282,AMD EPYC Processor,4,2776,10751,4
283,AMD EPYC Processor,4,2711,10705,4
284,AMD EPYC Processor,3,3486,10704,3
285,AMD EPYC Processor @ 2445.404 MHz,3,3612,10689,3
286,AMD EPYC Processor,3,3619,10678,3
287,AMD EPYC Processor,3,3572,10641,3
288,AMD EPYC Processor,3,3639,10635,3
289,AMD EPYC Processor,3,3567,10635,3
290,AMD EPYC Processor,3,3634,10590,3
291,AMD EPYC Processor,3,3642,10534,3
292,AMD EPYC Processor,4,3488,10499,4
293,AMD EPYC Processor,4,2698,10489,4
294,AMD EPYC Processor,3,3628,10367,3
295,AMD EPYC Processor,2,5192,10329,2
296,AMD EPYC Processor @ 2645.030 MHz,4,2964,10277,4
