排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD EPYC 7R12 48-Core Processor,2,1633,160252,192
2,AMD EPYC 7R12 48-Core Processor,16,1579,24093,16
3,AMD EPYC 7R12 48-Core Processor,4,1602,6401,4
4,AMD EPYC 7R12 48-Core Processor,4,1588,6354,4
5,AMD EPYC 7R12 48-Core Processor,4,1579,6324,4
6,AMD EPYC 7R12 48-Core Processor,4,1566,6302,4
7,AMD EPYC 7R12 48-Core Processor,4,1587,6273,4
8,AMD EPYC 7R12 48-Core Processor,4,1598,6255,4
9,AMD EPYC 7R12 48-Core Processor,4,1559,6226,4
10,AMD EPYC 7R12 48-Core Processor,4,1557,6196,4
11,AMD EPYC 7R12 48-Core Processor,4,1563,6062,4
12,AMD EPYC 7R12 48-Core Processor,4,1520,6051,4
13,AMD EPYC 7R12 48-Core Processor,4,1573,5998,4
14,AMD EPYC 7R12 48-Core Processor,4,1455,5990,4
15,AMD EPYC 7R12 48-Core Processor,10,1601,4735,10
16,AMD EPYC 7R12 48-Core Processor,4,1461,4351,4
17,AMD EPYC 7R12 48-Core Processor,2,1567,3167,2
18,AMD EPYC 7R12 48-Core Processor,2,1575,3157,2
19,AMD EPYC 7R12 48-Core Processor,2,1587,3144,2
20,AMD EPYC 7R12 48-Core Processor,2,1557,3139,2
21,AMD EPYC 7R12 48-Core Processor,2,1578,3138,2
22,AMD EPYC 7R12 48-Core Processor,2,1585,3106,2
23,AMD EPYC 7R12 48-Core Processor,2,1552,3037,2
24,AMD EPYC 7R12 48-Core Processor,2,1517,2938,2
25,AMD EPYC 7R12 48-Core Processor,2,1429,2697,2
26,AMD EPYC 7R12 48-Core Processor,2,1290,2617,2
27,AMD EPYC 7R12 48-Core Processor,96,1631,1621,96
28,AMD EPYC 7R12 48-Core Processor,1,1626,1620,48
29,AMD EPYC 7R12 48-Core Processor,3,1596,1613,3
30,AMD EPYC 7R12 48-Core Processor,1,1601,1601,48
31,AMD EPYC 7R12 48-Core Processor,1,1436,1525,10
32,AMD EPYC 7R12 48-Core Processor,1,1408,1416,12
33,AMD EPYC 7R12 48-Core Processor,1,1333,1365,12
34,AMD EPYC 7R12 48-Core Processor,12,1318,1308,12
