排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,1109,39090,48
2,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,1109,39090,48
3,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,16,1047,15552,16
4,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,8,1017,7658,8
5,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,8,1010,7203,8
6,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,8,962,7077,8
7,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,10,808,6212,10
8,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,6,997,5888,6
9,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,6,974,5848,6
10,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,6,904,5676,6
11,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,4,1049,4212,4
12,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,4,980,3902,4
13,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,4,988,3858,4
14,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,4,986,3779,4
15,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,4,981,3676,4
16,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,4,919,3439,4
17,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,4,928,3319,4
18,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,4,664,2173,4
19,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,4,607,2099,4
20,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,1019,2044,2
21,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,1022,2038,2
22,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,1021,2036,2
23,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,1016,2036,2
24,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,995,2030,2
25,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,1022,2025,2
26,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,999,2022,2
27,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,1016,2021,2
28,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,1017,2018,2
29,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,1002,2015,2
30,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,1016,2014,2
31,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,879,1983,2
32,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,956,1966,2
33,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,985,1964,2
34,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,981,1955,2
35,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,881,1946,2
36,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,976,1944,2
37,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,851,1942,2
38,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,975,1935,2
39,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,4,590,1933,4
40,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,961,1919,2
41,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,1073,1905,2
42,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,955,1904,2
43,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,929,1890,2
44,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,889,1838,2
45,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,919,1831,2
46,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,996,1828,2
47,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,836,1671,2
48,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,1047,1033,2
49,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,1009,1030,2
50,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,992,1021,2
51,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,969,1007,2
52,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,963,984,2
53,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,898,901,2
54,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,838,872,2
55,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,866,869,2
56,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,3,829,851,3
57,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,1,822,788,4
58,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,2,521,586,2
