排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel Xeon Processor (Cascadelake),48,1053,42583,48
2,Intel Xeon Processor (Cascadelake),48,1051,42516,48
3,Intel Xeon Processor (Cascadelake),32,1179,31438,32
4,Intel Xeon Processor (Cascadelake),32,1257,30292,32
5,Intel Xeon Processor (Cascadelake),16,1262,19973,16
6,Intel Xeon Processor (Cascadelake),16,1176,19252,16
7,Intel Xeon Processor (Cascadelake),16,1144,18829,16
8,Intel Xeon Processor (Cascadelake),16,1174,17906,16
9,Intel Xeon Processor (Cascadelake),8,2210,16046,8
10,Intel Xeon Processor (Cascadelake) @ 2095.078 MHz,16,972,14955,16
11,Intel Xeon Processor (Cascadelake),12,1238,14583,12
12,Intel Xeon Processor (Cascadelake),8,1954,14170,8
13,Intel Xeon Processor (Cascadelake),12,1184,14094,12
14,Intel Xeon Processor (Cascadelake),8,2190,14048,8
15,Intel Xeon Processor (Cascadelake),8,2221,14008,8
16,Intel Xeon Processor (Cascadelake),8,2203,13832,8
17,Intel Xeon Processor (Cascadelake),8,2093,13706,8
18,Intel Xeon Processor (Cascadelake),8,1886,13501,8
19,Intel Xeon Processor (Cascadelake),12,1157,13491,12
20,Intel Xeon Processor (Cascadelake),8,1959,12539,8
21,Intel Xeon Processor (Cascadelake),16,905,12460,16
22,Intel Xeon Processor (Cascadelake),8,1606,11490,8
23,Intel Xeon Processor (Cascadelake),8,1204,9645,8
24,Intel Xeon Processor (Cascadelake) @2992.962 MHz,8,1201,9563,8
25,Intel Xeon Processor (Cascadelake),8,1204,9497,8
26,Intel Xeon Processor (Cascadelake),8,1181,9400,8
27,Intel Xeon Processor (Cascadelake),8,1147,9178,8
28,Intel Xeon Processor (Cascadelake),8,1119,8952,8
29,Intel Xeon Processor (Cascadelake),4,2202,8707,4
30,Intel Xeon Processor (Cascadelake),4,2230,8561,4
31,Intel Xeon Processor (Cascadelake) @ 2992.968 MHz,8,1153,8505,8
32,Intel Xeon Processor (Cascadelake),4,2154,8495,4
33,Intel Xeon Processor (Cascadelake),4,2203,8463,4
34,Intel Xeon Processor (Cascadelake),4,2142,8387,4
35,Intel Xeon Processor (Cascadelake),8,1210,8360,8
36,Intel Xeon Processor (Cascadelake),8,1214,8359,8
37,Intel Xeon Processor (Cascadelake),8,1220,8147,8
38,Intel Xeon Processor (Cascadelake),4,2057,8126,4
39,Intel Xeon Processor (Cascadelake),4,2136,8074,4
40,Intel Xeon Processor (Cascadelake) @2992.689 MHz,8,1188,7997,8
41,Intel Xeon Processor (Cascadelake),4,2170,7960,4
42,Intel Xeon Processor (Cascadelake),8,1008,7906,8
43,Intel Xeon Processor (Cascadelake),8,1167,7890,8
44,Intel Xeon Processor (Cascadelake),4,2143,7870,4
45,Intel Xeon Processor (Cascadelake),8,968,7776,8
46,Intel Xeon Processor (Cascadelake),8,1200,7657,8
47,Intel Xeon Processor (Cascadelake),8,975,7628,8
48,Intel Xeon Processor (Cascadelake),8,1261,7578,8
49,Intel Xeon Processor (Cascadelake),8,1259,7577,8
50,Intel Xeon Processor (Cascadelake),8,937,7576,8
51,Intel Xeon Processor (Cascadelake),8,938,7462,8
52,Intel Xeon Processor (Cascadelake),8,1251,7435,8
53,Intel Xeon Processor (Cascadelake),8,1200,7327,8
54,Intel Xeon Processor (Cascadelake),4,2086,7321,4
55,Intel Xeon Processor (Cascadelake),8,954,6978,8
56,Intel Xeon Processor (Cascadelake),8,1886,6955,8
57,Intel Xeon Processor (Cascadelake),8,882,6931,8
58,Intel Xeon Processor (Cascadelake),6,1186,6838,6
59,Intel Xeon Processor (Cascadelake),8,896,6829,8
60,Intel Xeon Processor (Cascadelake),8,961,5987,8
61,Intel Xeon Processor (Cascadelake),8,845,5235,8
62,Intel Xeon Processor (Cascadelake),4,1242,5011,4
63,Intel Xeon Processor (Cascadelake),4,1253,5000,4
64,Intel Xeon Processor (Cascadelake),4,1259,4999,4
65,Intel Xeon Processor (Cascadelake),6,842,4992,6
66,Intel Xeon Processor (Cascadelake),6,834,4976,6
67,Intel Xeon Processor (Cascadelake),6,826,4965,6
68,Intel Xeon Processor (Cascadelake),4,1256,4959,4
69,Intel Xeon Processor (Cascadelake),4,1220,4943,4
70,Intel Xeon Processor (Cascadelake),4,1242,4931,4
71,Intel Xeon Processor (Cascadelake),4,1229,4898,4
72,Intel Xeon Processor (Cascadelake),6,800,4894,6
73,Intel Xeon Processor (Cascadelake) @ 2992.970 MHz,4,1223,4870,4
