排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) CPU L5630 @ 2.13GHz,16,695,8024,16
2,Intel(R) Xeon(R) CPU L5630 @ 2.13GHz,16,662,7804,16
3,Intel(R) Xeon(R) CPU L5630 @ 2.13GHz,16,613,7775,16
4,Intel(R) Xeon(R) CPU L5630 @ 2.13GHz,16,613,7730,16
5,Intel(R) Xeon(R) CPU L5630 @ 2.13GHz,16,690,7701,16
6,Intel(R) Xeon(R) CPU L5630 @ 2.13GHz,2,664,7687,16
7,Intel(R) Xeon(R) CPU L5630 @ 2.13GHz,2,667,7680,16
8,Intel(R) Xeon(R) CPU L5630 @ 2.13GHz,16,616,7488,16
9,Intel(R) Xeon(R) CPU L5630 @ 2.13GHz,2,633,7462,16
10,Intel(R) Xeon(R) CPU L5630 @ 2.13GHz,2,633,7436,16
11,Intel(R) Xeon(R) CPU L5630 @ 2.13GHz,2,650,7394,16
12,Intel(R) Xeon(R) CPU L5630 @ 2.13GHz,2,617,7382,16
13,Intel(R) Xeon(R) CPU L5630 @ 2.13GHz,2,600,7327,16
14,Intel(R) Xeon(R) CPU L5630 @ 2.13GHz,16,462,5667,16
15,Intel(R) Xeon(R) CPU L5630 @ 2.13GHz,8,651,3745,8
16,Intel(R) Xeon(R) CPU L5630 @ 2.13GHz,1,618,3727,8
17,Intel(R) Xeon(R) CPU L5630 @ 2.13GHz,4,590,2342,4
18,Intel(R) Xeon(R) CPU L5630 @ 2.13GHz,4,591,2341,4
19,Intel(R) Xeon(R) CPU L5630 @ 2.13GHz,4,592,2341,4
20,Intel(R) Xeon(R) CPU L5630 @ 2.13GHz,4,582,2314,4
21,Intel(R) Xeon(R) CPU L5630 @ 2.13GHz,4,579,2289,4
22,Intel(R) Xeon(R) CPU L5630 @ 2.13GHz,4,554,2083,4
23,Intel(R) Xeon(R) CPU L5630 @ 2.13GHz,2,594,1188,2
24,Intel(R) Xeon(R) CPU L5630 @ 2.13GHz,2,596,1167,2
25,Intel(R) Xeon(R) CPU L5630 @ 2.13GHz,2,602,1128,2
26,Intel(R) Xeon(R) CPU L5630 @ 2.13GHz,2,659,1003,2
27,Intel(R) Xeon(R) CPU L5630 @ 2.13GHz,2,658,986,2
28,Intel(R) Xeon(R) CPU L5630 @ 2.13GHz,2,288,270,2
