排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,1175,6411,8
2,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1175,6430,8
3,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1174,6406,8
4,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,1174,6402,8
5,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1174,6413,8
6,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1173,6420,8
7,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1172,6401,8
8,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1172,6416,8
9,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1172,6416,8
10,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1172,6410,8
11,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1172,6413,8
12,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1172,6417,8
13,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1172,6415,8
14,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1170,6409,8
15,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1170,6414,8
16,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1169,6392,8
17,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1164,6391,8
18,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1164,6393,8
19,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1162,6401,8
20,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1161,6403,8
21,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,1159,6292,8
22,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,4,1159,4386,4
23,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1158,1158,1
24,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,1155,6299,8
25,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,1135,5823,8
26,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,4,1118,4100,4
27,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1078,1078,1
28,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,2,1067,2027,2
29,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,2,1060,2037,2
30,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,2,1058,2025,2
31,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,2,1048,2044,2
32,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,2,1041,2011,2
33,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1039,6557,8
34,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1039,6556,8
35,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1039,6542,8
36,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1038,6555,8
37,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1038,6554,8
38,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1038,6553,8
39,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1038,6556,8
40,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1038,6554,8
41,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1038,6542,8
42,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1038,6551,8
43,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1038,6555,8
44,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1038,6556,8
45,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1038,6551,8
46,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1038,6552,8
47,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1037,6557,8
48,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1037,6554,8
49,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1037,6521,8
50,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1036,6417,8
51,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1036,6543,8
52,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1036,6538,8
53,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1036,6540,8
54,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1035,6529,8
55,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1035,6543,8
56,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1035,6537,8
57,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1035,6531,8
58,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1034,6527,8
59,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1034,6535,8
60,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1033,6528,8
61,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1033,6519,8
