排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel Xeon Processor (Icelake),4,3657,12863,4
2,Intel Xeon Processor (Icelake),8,3014,24020,8
3,Intel Xeon Processor (Icelake),4,3009,11991,4
4,Intel Xeon Processor (Icelake),12,2985,18737,12
5,Intel Xeon Processor (Icelake),12,2979,18725,12
6,Intel Xeon Processor (Icelake),12,2977,18728,12
7,Intel Xeon Processor (Icelake),8,2896,23309,8
8,Intel Xeon Processor (Icelake),4,2869,11350,4
9,Intel Xeon Processor (Icelake),4,2869,11439,4
10,Intel Xeon Processor (Icelake),16,2856,44773,16
11,Intel Xeon Processor (Icelake),16,2848,44626,16
12,Intel Xeon Processor (Icelake),8,2771,18452,8
13,Intel Xeon Processor (Icelake),2,2734,5459,2
14,Intel Xeon Processor (Icelake),2,2471,4935,2
15,Intel Xeon Processor (Icelake),2,2468,4887,2
16,Intel Xeon Processor (Icelake),16,2468,39263,16
17,Intel Xeon Processor (Icelake),2,2464,4838,2
18,Intel Xeon Processor (Icelake),2,2464,4874,2
19,Intel Xeon Processor (Icelake),2,2456,4877,2
20,Intel Xeon Processor (Icelake),3,2443,7353,3
21,Intel Xeon Processor (Icelake),16,2435,37524,16
22,Intel Xeon Processor (Icelake),2,2406,4728,2
23,Intel Xeon Processor (Icelake),4,2400,9598,4
24,Intel Xeon Processor (Icelake),6,2369,12812,6
25,Intel Xeon Processor (Icelake),2,2350,4461,2
26,Intel Xeon Processor (Icelake),4,2282,10112,4
27,Intel Xeon Processor (Icelake),3,2207,6570,3
28,Intel Xeon Processor (Icelake),60,2186,124758,60
29,Intel Xeon Processor (Icelake),3,2186,6530,3
30,Intel Xeon Processor (Icelake),4,2178,8426,4
31,Intel Xeon Processor (Icelake),8,2176,16939,8
32,Intel Xeon Processor (Icelake),2,2173,4308,2
33,Intel Xeon Processor (Icelake),8,2165,17070,8
34,Intel Xeon Processor (Icelake),2,2148,4199,2
35,Intel Xeon Processor (Icelake),32,2126,65724,32
36,Intel Xeon Processor (Icelake),4,1786,6884,4
