排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Montage Jintide(R) C6230R,16,1045,16614,16
2,Montage Jintide(R) C6230R,4,1028,4101,4
3,Montage Jintide(R) C6230R,4,1003,4013,4
4,Montage Jintide(R) C6230R,3,1031,3078,3
5,Montage Jintide(R) C6230R,3,1002,3029,3
6,Montage Jintide(R) C6230R,3,998,3014,3
7,Montage Jintide(R) C6230R,3,1013,3003,3
8,Montage Jintide(R) C6230R,3,1011,2995,3
9,Montage Jintide(R) C6230R,3,979,2974,3
10,Montage Jintide(R) C6230R,2,1011,2018,2
11,Montage Jintide(R) C6230R,2,997,1997,2
12,Montage Jintide(R) C6230R,2,992,1992,2
13,Montage Jintide(R) C6230R,2,994,1969,2
14,Montage Jintide(R) C6230R,2,925,1887,2
15,Montage Jintide(R) C6230R,2,934,1886,2
16,Montage Jintide(R) C6230R,1,1027,1027,1
17,Montage Jintide(R) C6230R,1,1024,1024,1
18,Montage Jintide(R) C6230R,1,1023,1023,1
19,Montage Jintide(R) C6230R,1,1018,1018,1
20,Montage Jintide(R) C6230R,1,1017,1017,1
21,Montage Jintide(R) C6230R,1,1014,1014,1
22,Montage Jintide(R) C6230R,1,1009,1009,1
23,Montage Jintide(R) C6230R,1,1006,1006,1
24,Montage Jintide(R) C6230R,1,1006,1006,1
25,Montage Jintide(R) C6230R,1,1003,1003,1
26,Montage Jintide(R) C6230R @ 2099.998 MHz,1,1003,1003,1
27,Montage Jintide(R) C6230R,1,997,997,1
28,Montage Jintide(R) C6230R,1,997,997,1
29,Montage Jintide(R) C6230R,1,996,996,1
30,Montage Jintide(R) C6230R,1,996,996,1
31,Montage Jintide(R) C6230R,1,995,995,1
32,Montage Jintide(R) C6230R @ 2100.000 MHz,1,995,995,1
33,Montage Jintide(R) C6230R,1,994,994,1
34,Montage Jintide(R) C6230R,1,994,994,1
35,Montage Jintide(R) C6230R,1,994,994,1
36,Montage Jintide(R) C6230R,1,993,993,1
