排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,General Purpose Processor,2,3694,7211,2
2,General Purpose Processor,4,3693,8274,4
3,General Purpose Processor,2,3689,7281,2
4,General Purpose Processor,2,3688,7358,2
5,General Purpose Processor,2,3685,4097,2
6,General Purpose Processor @2449.674 MHz,2,3685,7283,2
7,General Purpose Processor @ 2449.882 MHz,2,3684,7349,2
8,General Purpose Processor,2,3683,7337,2
9,General Purpose Processor,2,3683,4123,2
10,General Purpose Processor,2,3682,7346,2
11,General Purpose Processor,2,3680,7361,2
12,General Purpose Processor,2,3680,7129,2
13,General Purpose Processor @ 2449.664 MHz,2,3679,7326,2
14,General Purpose Processor,2,3676,7114,2
15,General Purpose Processor @2449.674 MHz,2,3675,7268,2
16,General Purpose Processor @ 2449.882 MHz,2,3675,7330,2
17,General Purpose Processor,2,3673,7298,2
18,General Purpose Processor,2,3673,7322,2
19,General Purpose Processor,2,3673,7234,2
20,General Purpose Processor,2,3672,7308,2
21,General Purpose Processor,2,3672,7285,2
22,General Purpose Processor,2,3672,4089,2
23,General Purpose Processor,2,3672,4091,2
24,General Purpose Processor,2,3672,7328,2
25,General Purpose Processor,2,3671,7236,2
26,General Purpose Processor,2,3671,7313,2
27,General Purpose Processor,2,3671,7227,2
28,General Purpose Processor,2,3670,7275,2
29,General Purpose Processor,2,3670,7264,2
30,General Purpose Processor,2,3670,7312,2
31,General Purpose Processor,2,3670,7319,2
32,General Purpose Processor,2,3670,7235,2
33,General Purpose Processor,2,3669,7059,2
34,General Purpose Processor,2,3669,7357,2
35,General Purpose Processor,2,3669,7225,2
36,General Purpose Processor @ 2449.678 MHz,2,3669,7320,2
37,General Purpose Processor,2,3669,7257,2
38,General Purpose Processor,2,3669,7325,2
39,General Purpose Processor,2,3668,7231,2
40,General Purpose Processor,2,3668,7252,2
41,General Purpose Processor,2,3668,7226,2
42,General Purpose Processor,2,3668,7237,2
43,General Purpose Processor,4,3668,14026,4
44,General Purpose Processor,4,3668,14088,4
45,General Purpose Processor,2,3668,7222,2
46,General Purpose Processor,2,3666,7260,2
47,General Purpose Processor,2,3666,7220,2
48,General Purpose Processor,2,3666,7151,2
49,General Purpose Processor,2,3665,7331,2
50,General Purpose Processor,2,3665,7197,2
51,General Purpose Processor,2,3664,7324,2
52,General Purpose Processor,2,3663,7228,2
53,General Purpose Processor,2,3663,4080,2
54,General Purpose Processor,2,3663,7178,2
55,General Purpose Processor,2,3663,7215,2
56,General Purpose Processor,4,3663,8246,4
57,General Purpose Processor,2,3663,7238,2
58,General Purpose Processor,2,3662,6919,2
59,General Purpose Processor,2,3662,6762,2
60,General Purpose Processor,2,3662,7299,2
61,General Purpose Processor,2,3662,6680,2
62,General Purpose Processor,2,3661,7231,2
63,General Purpose Processor,2,3661,7170,2
64,General Purpose Processor,2,3660,7285,2
65,General Purpose Processor,2,3659,7328,2
66,General Purpose Processor,2,3659,7249,2
67,General Purpose Processor,2,3659,7186,2
68,General Purpose Processor,2,3659,7299,2
69,General Purpose Processor,2,3658,7248,2
70,General Purpose Processor,2,3658,7247,2
71,General Purpose Processor,2,3658,7333,2
72,General Purpose Processor @ 2449.816 MHz,2,3658,4137,2
73,General Purpose Processor @ 2449.678 MHz,2,3657,7214,2
74,General Purpose Processor,4,3657,14087,4
75,General Purpose Processor @ 2449.678 MHz,2,3657,7292,2
76,General Purpose Processor,2,3656,7202,2
77,General Purpose Processor,2,3655,7162,2
78,General Purpose Processor,2,3654,6650,2
79,General Purpose Processor,2,3653,7308,2
80,General Purpose Processor,2,3653,7324,2
81,General Purpose Processor @ 2449.886 MHz,2,3651,7226,2
82,General Purpose Processor,2,3651,7254,2
83,General Purpose Processor,2,3651,7298,2
84,General Purpose Processor,2,3650,7216,2
85,General Purpose Processor,2,3650,7294,2
86,General Purpose Processor,2,3650,6603,2
87,General Purpose Processor @2449.966 MHz,2,3649,7171,2
88,General Purpose Processor,2,3649,7306,2
89,General Purpose Processor,2,3649,7249,2
90,General Purpose Processor,2,3648,7267,2
91,General Purpose Processor,2,3647,7239,2
92,General Purpose Processor,2,3647,7201,2
93,General Purpose Processor,2,3646,7244,2
94,General Purpose Processor,2,3645,7275,2
95,General Purpose Processor,2,3640,7105,2
96,General Purpose Processor,2,3639,7284,2
97,General Purpose Processor,2,3637,7308,2
98,General Purpose Processor @2449.998 MHz,2,3636,7186,2
99,General Purpose Processor @2449.966 MHz,2,3635,7145,2
100,General Purpose Processor,2,3633,7133,2
101,General Purpose Processor,2,3633,7221,2
102,General Purpose Processor,2,3631,7073,2
103,General Purpose Processor,2,3630,7117,2
104,General Purpose Processor,2,3628,7130,2
105,General Purpose Processor,2,3626,7117,2
106,General Purpose Processor,2,3625,6722,2
107,General Purpose Processor @2449.998 MHz,2,3624,7167,2
108,General Purpose Processor,2,3620,7139,2
109,General Purpose Processor,2,3618,7138,2
110,General Purpose Processor @2449.662 MHz,4,3618,14496,4
111,General Purpose Processor,2,3614,3933,2
112,General Purpose Processor,2,3612,7233,2
