排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD Ryzen 9 3900 12-Core Processor,2,2167,4277,2
2,AMD Ryzen 9 3900 12-Core Processor,1,2162,25776,24
3,AMD Ryzen 9 3900 12-Core Processor,2,2157,4260,2
4,AMD Ryzen 9 3900 12-Core Processor,2,2155,4279,2
5,AMD Ryzen 9 3900 12-Core Processor,4,2154,8439,4
6,AMD Ryzen 9 3900 12-Core Processor,1,2154,26155,24
7,AMD Ryzen 9 3900 12-Core Processor,4,2151,8542,12
8,AMD Ryzen 9 3900 12-Core Processor,6,2150,12458,6
9,AMD Ryzen 9 3900 12-Core Processor,1,2147,26177,24
10,AMD Ryzen 9 3900 12-Core Processor,6,2145,12536,6
11,AMD Ryzen 9 3900 12-Core Processor,3,2142,6283,3
12,AMD Ryzen 9 3900 12-Core Processor,1,2138,26008,24
13,AMD Ryzen 9 3900 12-Core Processor,2,2133,4199,2
14,AMD Ryzen 9 3900 12-Core Processor,1,2130,2117,12
15,AMD Ryzen 9 3900 12-Core Processor,1,2127,26106,24
16,AMD Ryzen 9 3900 12-Core Processor,2,2126,4215,2
17,AMD Ryzen 9 3900 12-Core Processor,1,2126,2123,12
18,AMD Ryzen 9 3900 12-Core Processor,1,2125,2128,12
19,AMD Ryzen 9 3900 12-Core Processor,2,2119,4231,2
20,AMD Ryzen 9 3900 12-Core Processor,2,2119,4210,2
21,AMD Ryzen 9 3900 12-Core Processor,2,2119,4199,2
22,AMD Ryzen 9 3900 12-Core Processor,4,2116,8328,4
23,AMD Ryzen 9 3900 12-Core Processor,1,2109,2031,12
24,AMD Ryzen 9 3900 12-Core Processor,1,2107,2093,12
25,AMD Ryzen 9 3900 12-Core Processor,2,2106,4139,2
26,AMD Ryzen 9 3900 12-Core Processor,4,2104,8293,4
27,AMD Ryzen 9 3900 12-Core Processor,1,2104,25368,24
28,AMD Ryzen 9 3900 12-Core Processor,2,2103,4145,2
29,AMD Ryzen 9 3900 12-Core Processor,4,2100,8226,4
30,AMD Ryzen 9 3900 12-Core Processor,1,2095,2096,12
31,AMD Ryzen 9 3900 12-Core Processor,1,2095,25238,24
32,AMD Ryzen 9 3900 12-Core Processor,2,2094,4158,2
33,AMD Ryzen 9 3900 12-Core Processor,1,2093,2092,12
34,AMD Ryzen 9 3900 12-Core Processor,4,2093,8273,4
35,AMD Ryzen 9 3900 12-Core Processor,4,2090,8136,4
36,AMD Ryzen 9 3900 12-Core Processor,2,2089,4136,2
37,AMD Ryzen 9 3900 12-Core Processor,1,2089,2090,12
38,AMD Ryzen 9 3900 12-Core Processor,4,2089,8204,4
39,AMD Ryzen 9 3900 12-Core Processor,4,2087,8173,4
40,AMD Ryzen 9 3900 12-Core Processor,4,2087,8166,4
41,AMD Ryzen 9 3900 12-Core Processor,4,2086,8193,4
42,AMD Ryzen 9 3900 12-Core Processor,4,2084,8195,4
43,AMD Ryzen 9 3900 12-Core Processor,4,2083,8159,4
44,AMD Ryzen 9 3900 12-Core Processor,4,2081,8214,4
45,AMD Ryzen 9 3900 12-Core Processor,4,2081,8163,4
46,AMD Ryzen 9 3900 12-Core Processor,1,2081,25373,24
47,AMD Ryzen 9 3900 12-Core Processor,1,2076,2070,12
48,AMD Ryzen 9 3900 12-Core Processor,4,2074,8058,4
49,AMD Ryzen 9 3900 12-Core Processor,1,2071,25100,24
50,AMD Ryzen 9 3900 12-Core Processor,4,2071,7802,4
51,AMD Ryzen 9 3900 12-Core Processor,3,2070,6148,3
52,AMD Ryzen 9 3900 12-Core Processor,4,2068,8098,4
53,AMD Ryzen 9 3900 12-Core Processor,4,2068,8030,4
54,AMD Ryzen 9 3900 12-Core Processor,4,2059,8087,4
55,AMD Ryzen 9 3900 12-Core Processor,4,2057,7991,4
56,AMD Ryzen 9 3900 12-Core Processor,2,2052,4102,2
57,AMD Ryzen 9 3900 12-Core Processor,24,2051,2015,24
58,AMD Ryzen 9 3900 12-Core Processor,4,2051,7997,4
59,AMD Ryzen 9 3900 12-Core Processor,1,2051,25124,24
