排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,2,1217,50762,64
2,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,2,1214,50819,64
3,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,2,1154,50996,64
4,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,2,1133,48975,64
5,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,2,1125,50195,64
6,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,2,1111,2120,2
7,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,2,1110,47867,64
8,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,2,1060,49076,64
9,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,64,1059,1061,64
10,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,2,1056,50956,64
11,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,2,1056,50876,64
12,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,8,1050,8354,8
13,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,4,1049,4166,4
14,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,8,1049,8347,8
15,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,4,1043,4172,4
16,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,64,1030,50571,64
17,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,64,1029,1025,64
18,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,2,1022,2028,2
19,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,64,1018,1053,64
20,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,64,1015,1043,64
21,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,4,1011,4140,4
22,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,2,1011,1988,2
23,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,64,1010,961,64
24,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,2,1009,1942,2
25,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,64,1008,987,64
26,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,2,1006,1895,2
27,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,2,1005,1907,2
28,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,8,1003,8072,8
29,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,2,1000,2005,2
30,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,20,999,19836,20
31,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,6,999,6017,6
32,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,60,999,12914,60
33,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,3,999,2978,3
34,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,2,999,2001,2
35,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,6,998,5957,6
36,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,2,998,1986,2
37,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,2,998,50814,64
38,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,20,998,19754,20
39,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,4,996,3967,4
40,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,2,995,1946,2
41,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,2,992,1996,2
42,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,2,990,1965,2
43,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,18,988,17593,18
44,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,1,988,25129,32
45,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,4,987,3920,4
46,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,64,985,978,64
47,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,1,984,1008,32
48,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,64,983,994,64
49,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,2,982,1953,2
50,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,2,979,1937,2
51,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,4,979,3934,4
52,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,2,979,1967,2
53,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,64,979,1017,64
54,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,24,978,22683,24
55,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,64,977,962,64
56,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,64,977,967,64
57,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,1,976,931,32
58,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,2,976,1921,2
59,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,64,976,987,64
60,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,2,975,1927,2
61,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,2,973,1839,2
62,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,2,972,1850,2
63,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,4,971,3888,4
64,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,1,971,980,32
65,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,2,969,1887,2
66,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,2,968,1864,2
67,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,64,967,968,64
68,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,64,967,908,64
69,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,4,966,3799,4
70,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,2,965,909,2
71,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,4,965,3861,4
72,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,4,963,3827,4
73,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,64,963,988,64
74,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,2,962,1866,2
75,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,4,961,3858,4
76,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,1,961,913,32
77,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,64,961,962,64
78,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,2,960,1930,2
79,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,4,960,3844,4
80,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,64,959,946,64
81,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,64,959,961,64
82,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,64,958,918,64
83,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,64,958,979,64
84,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,4,958,3790,4
85,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,2,958,1638,2
86,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,2,955,1888,2
87,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,64,953,977,64
88,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,2,952,1900,2
89,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,1,952,900,32
90,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,4,951,3801,4
91,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,64,950,932,64
92,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,2,950,1873,2
