排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD Ryzen 9 7945HX with Radeon Graphics,32,5717,99991,32
2,AMD Ryzen 9 7945HX with Radeon Graphics,32,6011,98134,32
3,AMD Ryzen 9 7945HX with Radeon Graphics,32,6564,98015,32
4,AMD Ryzen 9 7945HX with Radeon Graphics,32,6140,95573,32
5,AMD Ryzen 9 7945HX with Radeon Graphics,32,5792,83819,32
6,AMD Ryzen 9 7945HX with Radeon Graphics,1,5617,77604,32
7,AMD Ryzen 9 7945HX with Radeon Graphics,1,5108,63488,32
8,AMD Ryzen 9 7945HX with Radeon Graphics,16,5848,52096,16
9,AMD Ryzen 9 7945HX with Radeon Graphics,4,6337,25316,4
10,AMD Ryzen 9 7945HX with Radeon Graphics,4,6250,25184,4
11,AMD Ryzen 9 7945HX with Radeon Graphics,4,6424,24642,4
12,AMD Ryzen 9 7945HX with Radeon Graphics,4,5874,23621,4
13,AMD Ryzen 9 7945HX with Radeon Graphics,4,6176,22651,4
14,AMD Ryzen 9 7945HX with Radeon Graphics,4,5871,16707,4
15,AMD Ryzen 9 7945HX with Radeon Graphics,2,5896,10147,2
