排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,24,924,16132,24
2,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2,905,16125,24
3,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2,908,16073,24
4,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,24,870,15970,24
5,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,24,904,15894,24
6,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2,909,15876,24
7,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,24,879,15798,24
8,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,24,860,15724,24
9,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,24,694,14877,24
10,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2,686,14282,24
11,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,22,826,12488,22
12,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2,693,9178,24
13,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,12,814,8744,12
14,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,12,663,5441,12
15,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,24,502,5238,24
16,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,24,700,5228,24
17,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,4,550,2574,4
18,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2,742,1482,2
19,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2,686,1435,2
20,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2,678,1417,2
21,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2,705,1382,2
22,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2,674,1367,2
23,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2,657,1354,2
24,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2,658,1336,2
25,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,8,171,1334,8
26,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2,656,1318,2
27,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2,641,1297,2
28,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2,597,1281,2
29,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2,680,1280,2
30,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2,655,1277,2
31,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2,678,1271,2
32,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2,643,1268,2
33,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2,629,1262,2
34,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2,626,1223,2
35,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2,573,1048,2
36,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2,903,884,2
37,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,24,30,635,24
38,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,24,30,601,24
39,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,8,12,225,8
