排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) Platinum 8336C CPU @ 2.30GHz,4,2569,10236,4
2,Intel(R) Xeon(R) Platinum 8336C CPU @ 2.30GHz,4,2569,10248,4
3,Intel(R) Xeon(R) Platinum 8336C CPU @ 2.30GHz,16,2568,21212,16
4,Intel(R) Xeon(R) Platinum 8336C CPU @ 2.30GHz,2,2563,5126,2
5,Intel(R) Xeon(R) Platinum 8336C CPU @ 2.30GHz,2,2557,5108,2
6,Intel(R) Xeon(R) Platinum 8336C CPU @ 2.30GHz,4,2555,10220,4
7,Intel(R) Xeon(R) Platinum 8336C CPU @ 2.30GHz,2,2552,5121,2
8,Intel(R) Xeon(R) Platinum 8336C CPU @ 2.30GHz,2,2541,5034,2
9,Intel(R) Xeon(R) Platinum 8336C CPU @ 2.30GHz,4,2535,10046,4
10,Intel(R) Xeon(R) Platinum 8336C CPU @ 2.30GHz,56,2535,112355,56
11,Intel(R) Xeon(R) Platinum 8336C CPU @ 2.30GHz,4,2534,10148,4
12,Intel(R) Xeon(R) Platinum 8336C CPU @ 2.30GHz,2,2533,169592,128
13,Intel(R) Xeon(R) Platinum 8336C CPU @ 2.30GHz,2,2530,5058,2
14,Intel(R) Xeon(R) Platinum 8336C CPU @ 2.30GHz,4,2527,10102,4
15,Intel(R) Xeon(R) Platinum 8336C CPU @ 2.30GHz,4,2526,10016,4
16,Intel(R) Xeon(R) Platinum 8336C CPU @ 2.30GHz,2,2526,4894,2
